"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Profession"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1.00","Human Resources"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1.00","Policy"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1.00","Property and asset management"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Administrative B (Admin B)","20018","22889","Finance Support Officer","3.00","Finance"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 1 (TP1)","23000","26942","Finance Support Officer","1.00","Finance"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Finance Support Officer","5.00","Finance"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Health & Safety Adviser","1.00","Human Resources"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Health & SafetySupport Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","HR Officer","5.00","Human Resources"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","HR Support Officer","5.00","Human Resources"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Operational Manager","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Operational Manager","0.75","Operational Delivery"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Operational Manager","1.00","Property and asset management"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Front of House B (FOH B)","18977","22889","Operations Support Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","FOH Retail A","14816","17937","Operations Support Officer","1.54","Operational Delivery"
"Department for Culture, Media and Sport","The Natural History Museum","Finance & Corporate Services","470","Front of House A (FOH A)","14816","17937","Operations Support Officer","1.62","Operational Delivery"
